ترقيم,رمز العرض,التخصص,الشهادة,المستوى المطلوب,نمط التكوين,التعريف بالنمط,المؤسسة,الداخلية,تاريخ البداية,تاريخ النهاية
1,205792,ART0715 - صياغة المجوهرات | Bijouterie orfèvrerie,ش.ت.م | CMP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-08-22
2,206003,CML0701 - تلحيم | Soudage,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-02-22
3,206008,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-06-22
4,206290,BAM0704 - نجارة الأثاث | Ebénisterie,ش.ت.م | CMP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-08-22
5,206350,CML0701 - تلحيم | Soudage,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-02-22
6,206688,"MES02Q - صبغ الشعر، إزالة الصبغة و تجعيد الشعر | Coloration, Décoloration, Permanente et Défrisage",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1914 | مركز التكوين المهني و التمهين للبنات بسطيف  | سطيف_سطيف,undefined,2025-02-23,2025-06-22
7,206704,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1914 | مركز التكوين المهني و التمهين للبنات بسطيف  | سطيف_سطيف,undefined,2025-02-23,2025-06-22
8,206815,BAM0704 - نجارة الأثاث | Ebénisterie,ش.ت.م | CMP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1914 | مركز التكوين المهني و التمهين للبنات بسطيف  | سطيف_سطيف,undefined,2025-02-23,2026-08-22
9,206787,BAM0704 - نجارة الأثاث | Ebénisterie,ش.ت.م | CMP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1919 | مركز التكوين المهني و التمهين عين أرنات | عين أرنات_سطيف,undefined,2025-02-23,2026-08-22
10,207017,"MES02Q - صبغ الشعر، إزالة الصبغة و تجعيد الشعر | Coloration, Décoloration, Permanente et Défrisage",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تأهيلي أولي | QUALIFIANTE INITIALE,التكوين التأهيلي الأولي، هو تكوين قصير المدى يهدف إلى إكتساب كفاءات خاصة ، تسمح لطالبي التكوين من الحصول على تأهيل أولي يمكّنه من الإندماج الإجتماعي المهني أو إنشاء مؤسسته المصغرة.,1919 | مركز التكوين المهني و التمهين عين أرنات | عين أرنات_سطيف,undefined,2025-02-23,2025-06-22
11,207065,"MES02Q - صبغ الشعر، إزالة الصبغة و تجعيد الشعر | Coloration, Décoloration, Permanente et Défrisage",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1919 | مركز التكوين المهني و التمهين عين أرنات | عين أرنات_سطيف,undefined,2025-02-23,2025-06-22
12,206300,CML0701 - تلحيم | Soudage,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1923 | مركز التكوين المهني و التمهين قجال   | قجال_سطيف,undefined,2025-02-23,2026-02-22
13,206052,CML0701 - تلحيم | Soudage,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1907 | مركز التكوين المهني و التمهين عين الحجر  | عين الحجر_سطيف,undefined,2025-02-23,2026-02-22
14,206090,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1907 | مركز التكوين المهني و التمهين عين الحجر  | عين الحجر_سطيف,undefined,2025-02-23,2025-06-22
15,206127,MME1801 - ميكانيك تصليح الدراجات العادية والنارية | Mécanique réparation des cycles et motocycles,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1907 | مركز التكوين المهني و التمهين عين الحجر  | عين الحجر_سطيف,undefined,2025-02-23,2026-02-22
16,207462,BAM0704 - نجارة الأثاث | Ebénisterie,ش.ت.م | CMP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1930 | مركز التكوين المهني و التمهين عين ازال  | عين أزال_سطيف,undefined,2025-02-23,2026-08-22
17,207467,CML0701 - تلحيم | Soudage,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1930 | مركز التكوين المهني و التمهين عين ازال  | عين أزال_سطيف,undefined,2025-02-23,2026-02-22
18,207528,MME1801 - ميكانيك تصليح الدراجات العادية والنارية | Mécanique réparation des cycles et motocycles,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1930 | مركز التكوين المهني و التمهين عين ازال  | عين أزال_سطيف,undefined,2025-02-23,2026-02-22
19,207184,MME1801 - ميكانيك تصليح الدراجات العادية والنارية | Mécanique réparation des cycles et motocycles,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1922 | مركز التكوين المهني و التمهين قنزات  | قنزات_سطيف,undefined,2025-02-23,2026-02-22
20,205534,CML0701 - تلحيم | Soudage,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1906 | مركز التكوين المهني و التمهين بوقاعة  | بوقاعة_سطيف,undefined,2025-02-23,2026-02-22
21,206244,"MES02Q - صبغ الشعر، إزالة الصبغة و تجعيد الشعر | Coloration, Décoloration, Permanente et Défrisage",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1916 | مركز التكوين المهني و التمهين ماوكلان  | ماوكلان_سطيف,undefined,2025-02-23,2025-06-22
22,205838,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1910 | مركز التكوين المهني و التمهين بابور | بابور_سطيف,undefined,2025-02-23,2025-06-22
23,207426,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1921 | مركز التكوين المهني و التمهين الإخوة إسعادي عبد الله و اعمر ـ بوعنداس ـ | بوعنداس_سطيف,undefined,2025-02-23,2025-06-22
24,206627,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1905 | مركز التكوين المهني و التمهين بئر العرش  | بئر العرش_سطيف,undefined,2025-02-23,2025-06-22
25,206500,MME1801 - ميكانيك تصليح الدراجات العادية والنارية | Mécanique réparation des cycles et motocycles,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1902 | مركز التكوين المهني و التمهين ذكور العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
26,206569,CML0701 - تلحيم | Soudage,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1902 | مركز التكوين المهني و التمهين ذكور العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
27,206898,CML06Q - مصلح هياكل المركبات | Réparation carrosserie,ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,في المؤسسات العقابية | EN MILIEU CARCERAL,التكوين في المؤسسات العقابية,1902 | مركز التكوين المهني و التمهين ذكور العلمة  | العلمة_سطيف,undefined,2025-02-23,2025-08-22
28,206378,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1908 | مركز التكوين المهني و التمهين إناث العلمة  | العلمة_سطيف,undefined,2025-02-23,2025-06-22
29,207014,CML0701 - تلحيم | Soudage,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1924 | مركز التكوين المهني و التمهين جميلة  | جميلة_سطيف,undefined,2025-02-23,2026-02-22
30,206051,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1915 | مركز التكوين المهني و التمهين بني ورثيلان  | بني ورتيلان_سطيف,undefined,2025-02-23,2025-06-22
31,206563,HRT1802 - الفندقة / خيار : خدمات فندقية | Hôtellerie /Option : Services hôteliers,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1926 | مركز التكوين المهني و التمهين حمام السخنة  | حمام السخنة_سطيف,undefined,2025-02-23,2026-02-22
32,207268,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1926 | مركز التكوين المهني و التمهين حمام السخنة  | حمام السخنة_سطيف,undefined,2025-02-23,2025-06-22
33,206325,ART0715 - صياغة المجوهرات | Bijouterie orfèvrerie,ش.ت.م | CMP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1928 | مركز التكوين المهني و التمهين عين طريق  | سطيف_سطيف,undefined,2025-02-23,2026-08-22
34,207335,CML0701 - تلحيم | Soudage,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1928 | مركز التكوين المهني و التمهين عين طريق  | سطيف_سطيف,undefined,2025-02-23,2026-02-22
35,211482,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تأهيلي أولي | QUALIFIANTE INITIALE,التكوين التأهيلي الأولي، هو تكوين قصير المدى يهدف إلى إكتساب كفاءات خاصة ، تسمح لطالبي التكوين من الحصول على تأهيل أولي يمكّنه من الإندماج الإجتماعي المهني أو إنشاء مؤسسته المصغرة.,PDPKW | مؤسسة الجمال لحلاقة النساء و التجميل | سطيف_سطيف,undefined,2025-02-23,2025-06-22
36,211483,"MES02Q - صبغ الشعر، إزالة الصبغة و تجعيد الشعر | Coloration, Décoloration, Permanente et Défrisage",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تأهيلي أولي | QUALIFIANTE INITIALE,التكوين التأهيلي الأولي، هو تكوين قصير المدى يهدف إلى إكتساب كفاءات خاصة ، تسمح لطالبي التكوين من الحصول على تأهيل أولي يمكّنه من الإندماج الإجتماعي المهني أو إنشاء مؤسسته المصغرة.,PDPKW | مؤسسة الجمال لحلاقة النساء و التجميل | سطيف_سطيف,undefined,2025-02-23,2025-06-22
37,211484,MES05Q - الأظافر – مانيكير و باديكير | Onglerie - Manucure - Pédicure,ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تأهيلي أولي | QUALIFIANTE INITIALE,التكوين التأهيلي الأولي، هو تكوين قصير المدى يهدف إلى إكتساب كفاءات خاصة ، تسمح لطالبي التكوين من الحصول على تأهيل أولي يمكّنه من الإندماج الإجتماعي المهني أو إنشاء مؤسسته المصغرة.,PDPKW | مؤسسة الجمال لحلاقة النساء و التجميل | سطيف_سطيف,undefined,2025-02-23,2025-04-22
38,212756,TAV01Q - تلقين الصورة | Initiation à la photo,ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تأهيلي أولي | QUALIFIANTE INITIALE,التكوين التأهيلي الأولي، هو تكوين قصير المدى يهدف إلى إكتساب كفاءات خاصة ، تسمح لطالبي التكوين من الحصول على تأهيل أولي يمكّنه من الإندماج الإجتماعي المهني أو إنشاء مؤسسته المصغرة.,PFBWV | مؤسسة خاصة للتكوين المهني رفا للسمعي البصري | سطيف_سطيف,undefined,2025-02-23,2025-08-22
39,205788,AIG0702 - تشغيل آلات الطبع فليكسو | Conduite machines d’impression Flexo,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-02-22
40,205789,AIG0703 - تشغيل آلات الطبع  أوفست | Conduite machines d’impression Offset,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-02-22
41,205791,AIG0705 - الطبع الحريري | Sérigraphie,ش.ت.م | CMP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-08-22
42,205796,BTP0706 - التركيب الصحي و الغـاز | Installation sanitaire et gaz,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-02-22
43,205797,BTP0707 - التدفـئة المركزية | Chauffage central,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-02-22
44,206005,INT0701P - مُستغل المعلوماتية | Exploitant informatique,ش.ت | BT,الرابعة متوسط | 4EM ANNEE MOYENNE,التكوين عن طريق المعابر | Formation Passerelle,هو تكوين متواصل موجه للعمال، يندرج ضمن الاستمرارية بين برنامجين يهدفان إلى اكتساب شهادة عالية مقارنة بالشهادة الأساسية. يسمح هذا الجهاز لحاملي شهادة التكوين المهني الذين تتوفر فيهم شروط الالتحاق بالحصول على تكوين عالٍ في نفس التخصص أو في نفس العائلة المهنية.,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-08-22
45,206006,TAG0709P - المحاسبة | Comptabilité,ش.ت | BT,الرابعة متوسط | 4EM ANNEE MOYENNE,التكوين عن طريق المعابر | Formation Passerelle,هو تكوين متواصل موجه للعمال، يندرج ضمن الاستمرارية بين برنامجين يهدفان إلى اكتساب شهادة عالية مقارنة بالشهادة الأساسية. يسمح هذا الجهاز لحاملي شهادة التكوين المهني الذين تتوفر فيهم شروط الالتحاق بالحصول على تكوين عالٍ في نفس التخصص أو في نفس العائلة المهنية.,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-08-22
46,206007,INT01Q - تلقين الإعلام الألي  (Word-Excel- Power Point) | Initiation à l’informatique (Word-Excel- Power Point),ش.تأهيل.م | CQP,الرابعة متوسط | 4EM ANNEE MOYENNE,الدروس المسائية | Cours du Soir,"يهدف إلى ضمان التكوين المتوج بالشهادة أو تكوين تأهيلي لفائدة كل مترشح يرغب في مواصلة تكوينه إلكتساب مؤهالت بمبادرة منه أوبمبادرة من الهيئة المستخدمة.
ينظم التكوين على مستوى مؤسسات التكوين و التعليم المهنيين و مفتوح لكل مترشح تتوفر فيه الشروط الدخول المنصوص عليها في مدونة تخصصات التكوين و التعليم المهنيين السارية المفعول.",1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-08-22
47,206019,CML03Q - التلحيم TIG و بالقوس الكهربائي | Soudage TIG et à l’arc électrique,ش.تأهيل.م | CQP,الرابعة متوسط | 4EM ANNEE MOYENNE,في المؤسسات العقابية | EN MILIEU CARCERAL,التكوين في المؤسسات العقابية,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-05-22
48,206738,CMS0701 - الـخراطة | Tournage,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-02-22
