ترقيم,رمز العرض,التخصص,الشهادة,المستوى المطلوب,نمط التكوين,التعريف بالنمط,المؤسسة,الداخلية,تاريخ البداية,تاريخ النهاية
135,206354,TAG0701 - أمين مخزن | Magasinier,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1902 | مركز التكوين المهني و التمهين ذكور العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
136,206489,BTP0706 - التركيب الصحي و الغـاز | Installation sanitaire et gaz,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1902 | مركز التكوين المهني و التمهين ذكور العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
137,206561,CMS0701 - الـخراطة | Tournage,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1902 | مركز التكوين المهني و التمهين ذكور العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
138,206595,"CML0702 - مطالة ، هياكل المركبات و الطلاء | Tôlerie, carrosserie, peinture auto",ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1902 | مركز التكوين المهني و التمهين ذكور العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
139,206636,HRT0706 - الفندقة - الإطعام / خيار : الطبخ  | Hôtellerie - Restauration/Option : Cuisine,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1902 | مركز التكوين المهني و التمهين ذكور العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
140,206117,TAG1203 -  عون إدراج المعلومات | Agent de saisie,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1908 | مركز التكوين المهني و التمهين إناث العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
141,206216,TAG0701 - أمين مخزن | Magasinier,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,الدروس المسائية | Cours du Soir,"يهدف إلى ضمان التكوين المتوج بالشهادة أو تكوين تأهيلي لفائدة كل مترشح يرغب في مواصلة تكوينه إلكتساب مؤهالت بمبادرة منه أوبمبادرة من الهيئة المستخدمة.
ينظم التكوين على مستوى مؤسسات التكوين و التعليم المهنيين و مفتوح لكل مترشح تتوفر فيه الشروط الدخول المنصوص عليها في مدونة تخصصات التكوين و التعليم المهنيين السارية المفعول.",1908 | مركز التكوين المهني و التمهين إناث العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
142,206253,HRT0704 - الإطعام / خيار : الطبخ الجماعي | Restauration/Option : Cuisine de collectivités,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1908 | مركز التكوين المهني و التمهين إناث العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
143,206261,HRT0705 - الفندقة - الإطعام / خيار : الإطعام | Hôtellerie - Restauration/Option : Restaurant,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1908 | مركز التكوين المهني و التمهين إناث العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
144,206268,INT1202 - عـامــــــل في الميكـــرو معلـوماتيـــة | Opérateur micro-informatique,ش.ت.م | CMP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1908 | مركز التكوين المهني و التمهين إناث العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-08-22
